更新时间,#genre#
2024-11-13 02:54:13,url
央视,#genre#
CCTV1,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|1920x1080
CCTV1,http://118.248.216.53:8088/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV1,http://123.121.60.214:8686/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://123.113.14.115:8012/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://221.219.65.6:4000/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://123.117.36.74:4001/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://171.116.226.246:8082/rtp/226.0.2.16:8040$组播源|1920x1080
CCTV1,http://221.218.157.61:3527/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y$订阅源|IPv6
CCTV1,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002133/index.m3u8$订阅源|IPv6
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$订阅源|IPv6
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$订阅源|IPv6
CCTV1,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226733/index.m3u8$订阅源|IPv6
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb07]/ott.mobaibox.com/PLTV/3/224/3221227375/index.m3u8?$订阅源|IPv6
CCTV1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/$订阅源|IPv6
CCTV1,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010144/$订阅源|IPv6
CCTV1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源|IPv6
CCTV1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$订阅源|IPv6
CCTV1,http://120.55.49.231:893/rtp/233.50.201.222:5140$浙江电信组播源
CCTV1,http://120.55.49.231:893/rtp/233.50.201.99:5140$浙江电信组播源
CCTV1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231$组播源
CCTV1,http://110.177.146.152:888/udp/239.1.1.7:8007$订阅源|1920x1080
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$订阅源|1920x1080
CCTV1,http://27.11.104.31:8009/udp/225.0.4.74:7980$订阅源|1920x1080
CCTV1,http://221.196.136.66:1/udp/225.1.1.120:5002$订阅源|1920x1080
CCTV1,http://123.145.24.146:8003/udp/225.0.4.74:7980$订阅源|1920x1080
CCTV1,http://118.255.77.14:8887/udp/239.76.253.151:9000$订阅源|1920x1080
CCTV1,http://27.11.53.165:8005/udp/225.0.4.74:7980$订阅源|1920x1080
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV2,http://118.248.216.53:8088/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV2,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|1920x1080
CCTV2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$组播源|1920x1080
CCTV2,http://ik6.iptv8.net:8888/rtp/225.1.4.74:1103$组播源|1920x1080
CCTV2,http://120.55.49.231:893/rtp/233.50.201.119:5140$浙江电信组播源
CCTV2,http://120.55.49.231:893/rtp/233.50.201.2:5140$浙江电信组播源
CCTV2,http://120.55.49.231:8617/rtp/233.50.201.2:5140$组播源
CCTV2,http://123.56.129.203:4310/rtp/225.1.8.102:8004$组播源
CCTV2,http://221.219.65.6:4000/rtp/239.3.1.60:8084$组播源|1920x1080
CCTV2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3$订阅源|IPv6
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb0d]:80/wh7f454c46tw1528922594_677066330/ott.mobaibox.com/PLTV/3/224/3221227708/index.m3u8?icpid=3&RTS=1674385939&from=40&popid=40&hms_devid=2040&prioritypopid=40&vqe=3$订阅源|IPv6
